Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_Nano_v3.x","Arduino_Nano",120.255685,-88.650000,0.000000,top
"C1","100u","C_Radial_D8.0mm_H11.5mm_P3.50mm",103.515685,-95.200000,0.000000,top
"C2","10u","C_Radial_D5.0mm_H11.0mm_P2.00mm",114.415685,-89.740000,180.000000,top
"C3","100n","C_Disc_D4.3mm_W1.9mm_P5.00mm",109.265685,-81.160000,-90.000000,top
"C4","10u","C_Radial_D5.0mm_H11.0mm_P2.00mm",160.865685,-116.920000,0.000000,top
"C5","10u","C_Radial_D5.0mm_H11.0mm_P2.00mm",161.365685,-82.420000,0.000000,top
"C6","10u","C_Radial_D5.0mm_H11.0mm_P2.00mm",113.765685,-107.800000,90.000000,top
"C7","100u","C_Radial_D8.0mm_H11.5mm_P3.50mm",174.865685,-103.520000,180.000000,top
"C8","47n","C_Disc_D4.3mm_W1.9mm_P5.00mm",170.465685,-119.120000,0.000000,top
"C9","47n","C_Disc_D4.3mm_W1.9mm_P5.00mm",170.465685,-97.620000,0.000000,top
"C10","100u","C_Radial_D8.0mm_H11.5mm_P3.50mm",174.865685,-113.020000,180.000000,top
"C11","10u","C_Radial_D5.0mm_H11.0mm_P2.00mm",148.765685,-99.620000,0.000000,top
"D1","1N5820","D_DO-201AD_P15.24mm_Horizontal",182.845685,-113.120000,0.000000,top
"D3","1N5820","D_DO-201AD_P15.24mm_Horizontal",182.845685,-103.320000,0.000000,top
"J1","Screw_Terminal_01x02","HB9500",93.915685,-84.340000,-90.000000,top
"J2","Screw_Terminal_01x02","HB9500",208.515685,-112.520000,90.000000,top
"Q1","IRLZ44N","TO-220-3_Vertical",190.015685,-123.780000,-90.000000,top
"Q2","IRLZ44N","TO-220-3_Vertical",189.765685,-87.680000,-90.000000,top
"Q3","IRLZ44N","TO-220-3_Vertical",217.965685,-123.480000,-90.000000,top
"Q4","IRLZ44N","TO-220-3_Vertical",218.015685,-87.480000,-90.000000,top
"R1","10k","R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal",172.865685,-129.620000,0.000000,top
"R2","10k","R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal",172.615685,-93.420000,0.000000,top
"R3","10","R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal",185.565685,-123.220000,180.000000,top
"R4","10","R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal",185.315685,-87.020000,180.000000,top
"R5","10","R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal",213.565685,-122.820000,180.000000,top
"R6","10","R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal",213.615685,-86.820000,180.000000,top
"R7","10k","R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal",213.565685,-129.220000,180.000000,top
"R8","10k","R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal",213.615685,-93.220000,180.000000,top
"U1","LM7805_TO220","TO-220-3_Vertical",104.235685,-87.000000,90.000000,top
"U2","KY-040","KY-040-PORT",103.485685,-110.390000,90.000000,top
"U3","OLED-0.91","SSD1306-0.91-OLED-4pin-128x32",78.025685,-121.250000,0.000000,top
"U4","IR2110","DIP-14_W7.62mm_Socket_LongPads",148.240685,-129.420000,90.000000,top
"U5","IR2110","DIP-14_W7.62mm_Socket_LongPads",148.725685,-94.820000,90.000000,top
"U6","74LS04","DIP-14_W7.62mm_Socket_LongPads",148.725685,-111.920000,90.000000,top
